,zipcode,city,states,revenue_per_zipcode,national_num_esta
13401,47556,MARIAH HILL,IN,670,15
13402,47557,MONROE CITY,IN,4995,10
13403,47558,MONTGOMERY,IN,3536,90
13404,47561,OAKTOWN,IN,640,15
13405,47562,ODON,IN,1993,60
13406,47567,PETERSBURG,IN,9358,170
13407,47568,PLAINVILLE,IN,585,15
13408,47575,SAINT ANTHONY,IN,640,15
13409,47578,SANDBORN,IN,630,15
13410,47579,SANTA CLAUS,IN,10526,80
13411,47581,SHOALS,IN,6805,70
13412,47586,TELL CITY,IN,12083,400
13413,47588,TROY,IN,630,15
13414,47591,VINCENNES,IN,16574,1020
13415,47596,WESTPHALIA,IN,630,15
13416,47597,WHEATLAND,IN,630,15
13417,47598,WINSLOW,IN,1440,60
13418,47601,BOONVILLE,IN,11155,290
13419,47610,CHANDLER,IN,630,15
13420,47613,ELBERFELD,IN,4995,10
13421,47619,LYNNVILLE,IN,1551,45
13422,47620,MOUNT VERNON,IN,4616,270
13423,47629,NEWBURGH,IN,675,15
13424,47630,NEWBURGH,IN,11289,580
13425,47631,NEW HARMONY,IN,8904,130
13426,47633,POSEYVILLE,IN,6299,50
13427,47635,ROCKPORT,IN,9253,160
13428,47637,TENNYSON,IN,640,15
13429,47638,WADESVILLE,IN,2046,60
13430,47639,HAUBSTADT,IN,8208,145
13431,47640,HAZLETON,IN,585,15
13432,47648,FORT BRANCH,IN,10342,110
13433,47660,OAKLAND CITY,IN,8276,130
13434,47665,OWENSVILLE,IN,640,15
13435,47666,PATOKA,IN,630,15
13436,47670,PRINCETON,IN,17108,555
13437,47701,EVANSVILLE,IN,4995,10
13438,47708,EVANSVILLE,IN,15209,385
13439,47710,EVANSVILLE,IN,20057,645
13440,47711,EVANSVILLE,IN,17796,945
13441,47712,EVANSVILLE,IN,15893,995
13442,47713,EVANSVILLE,IN,3382,135
13443,47714,EVANSVILLE,IN,11290,575
13444,47715,EVANSVILLE,IN,20226,2310
13445,47716,EVANSVILLE,IN,675,15
13446,47720,EVANSVILLE,IN,12394,170
13447,47721,EVANSVILLE,IN,670,15
13448,47722,EVANSVILLE,IN,1945,45
13449,47724,EVANSVILLE,IN,640,15
13450,47725,EVANSVILLE,IN,11361,395
13451,47750,EVANSVILLE,IN,6694,70
13452,47802,TERRE HAUTE,IN,16630,1480
13453,47803,TERRE HAUTE,IN,17019,645
13454,47804,TERRE HAUTE,IN,10360,365
